optimizer,regime,protocol,eta,step,loss,delta,cosine_to_initial
gd,decoupled,iterative,194149.19457438815,0,6.906754778648555,0.0,0.9999999999780862
gd,decoupled,iterative,194149.19457438815,1,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,2,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,3,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,4,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,5,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,6,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,7,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,8,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,9,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,10,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,11,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,12,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,13,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,14,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,15,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,16,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,17,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,18,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,19,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,20,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,21,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,22,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,23,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,24,-0.0,0.0,0.003926702512449706
