regime,step,eta,tol,loss,delta,prediction_diff_coupled_decoupled,update_diff_coupled_decoupled,rank,rank_1e-14,rank_1e-12,rank_1e-10,direction_change,polar_method,s_tail_1,s_tail_2,s_tail_3,s_tail_4,s_tail_5,s_tail_6,s_tail_7,s_tail_8,s_tail_9,s_tail_10,gradient_probe_1,gradient_probe_2,gradient_probe_3,gradient_probe_4,direction_probe_1,direction_probe_2,direction_probe_3,direction_probe_4
decoupled,0,0.1,1e-12,6.906754778648555,0.0,0.0,9.826384215831246e-15,998,998,998,998,nan,svd,2.265054136729847e-18,0.00025031289111388845,0.0002503128911138887,0.00025031289111388877,0.00025031289111388894,0.00025031289111388894,0.000250312891113889,0.0002503128911138891,0.00025031289111388926,0.0002503128911138894,0.0005507704324116924,0.0008420843594646267,5.6342123219372114e-05,-0.0005668198336774591,0.0005401814029280918,0.001379893364119973,-0.0004580800278962087,0.00019679709078706474
coupled,0,0.1,1e-12,6.906754778648555,0.0,0.0,9.826384215831246e-15,998,998,998,998,nan,svd,2.57442531885787e-18,0.00025031289111388866,0.00025031289111388877,0.000250312891113889,0.00025031289111388904,0.0002503128911138892,0.0002503128911138892,0.00025031289111388926,0.00025031289111388926,0.0002503128911138893,0.0018198222031195327,0.0005178831465161949,-0.001467358192197627,0.000671009084604787,-0.0007693083604854342,0.0006401943174252508,0.00015163716614355002,0.0008076276344029223
decoupled,1,0.1,1e-12,6.8068270830077395,7.78039193787862e-08,1.0842021724855044e-18,1.0135950260685265e-14,998,998,998,998,1.038461168778155e-07,svd,6.283352860820607e-18,0.00025028654251327753,0.0002502865425132779,0.00025028654251327796,0.00025028654251327807,0.0002502865425132782,0.00025028654251327823,0.00025028654251327823,0.00025028654251327834,0.00025028654251327834,0.0005507702293768395,0.0008420839799986301,5.634251553333716e-05,-0.0005668193859225877,0.0005401814875298825,0.0013798932686649114,-0.00045808005402914913,0.00019679703443461764
coupled,1,0.1,1e-12,6.8068270830077395,7.78039193787862e-08,1.0842021724855044e-18,1.0135950260685265e-14,998,998,998,998,1.0384611716346078e-07,svd,9.569070316401554e-19,0.0002502865425132776,0.00025028654251327764,0.00025028654251327775,0.00025028654251327775,0.0002502865425132779,0.00025028654251327796,0.000250286542513278,0.00025028654251327807,0.00025028654251327807,0.0018198221532516807,0.0005178831906118763,-0.0014673574727799145,0.0006710085545768098,-0.0007693083955655903,0.0006401943973300422,0.00015163717993507187,0.000807627644713815
decoupled,2,0.1,1e-12,6.706910454435031,1.7193698468166534e-07,0.0,9.793809034064272e-15,998,998,998,998,1.038708552959019e-07,svd,1.7794569037471575e-17,0.00025025743055055467,0.0002502574305505548,0.0002502574305505548,0.00025025743055055494,0.000250257430550555,0.000250257430550555,0.0002502574305505552,0.00025025743055055526,0.00025025743055055526,0.0005507700269147711,0.0008420836026710885,5.634290666859392e-05,-0.0005668189369128101,0.0005401815721526488,0.0013798931731894806,-0.0004580800801689574,0.0001967969780693716
coupled,2,0.1,1e-12,6.706910454435031,1.7193698468166534e-07,0.0,9.793809034064272e-15,998,998,998,998,1.038708551256771e-07,svd,5.896547472731305e-18,0.00025025743055055456,0.00025025743055055494,0.00025025743055055505,0.0002502574305505553,0.00025025743055055537,0.0002502574305505554,0.0002502574305505554,0.0002502574305505554,0.0002502574305505555,0.0018198220990561036,0.00051788323559032,-0.0014673567509832196,0.0006710080255822832,-0.0007693084306530815,0.0006401944772529548,0.00015163719373000912,0.0008076276550258207
decoupled,3,0.1,1e-12,6.607006054322397,2.849625472245692e-07,0.0,9.92964381355935e-15,998,998,998,998,1.0389814976593017e-07,svd,1.5501999763860527e-17,0.00025022526609656516,0.0002502252660965654,0.0002502252660965655,0.00025022526609656565,0.0002502252660965658,0.00025022526609656587,0.00025022526609656587,0.00025022526609656587,0.0002502252660965659,0.0005507698251405306,0.0008420832278587535,5.634329644017236e-05,-0.0005668184864776974,0.0005401816567946194,0.001379893077681655,-0.0004580801063130238,0.00019679692168856356
coupled,3,0.1,1e-12,6.607006054322397,2.849625472245692e-07,0.0,9.92964381355935e-15,998,998,998,998,1.0389814970056067e-07,svd,9.782220831088628e-18,0.00025022526609656505,0.00025022526609656505,0.0002502252660965652,0.0002502252660965654,0.0002502252660965655,0.00025022526609656565,0.0002502252660965657,0.0002502252660965659,0.000250225266096566,0.0018198220398525893,0.0005178832815897899,-0.0014673560264374407,0.0006710074977868501,-0.0007693084657508215,0.0006401945571976296,0.0001516372075291298,0.0008076276653412968
decoupled,4,0.1,1e-12,6.507115165618002,4.1979958991726456e-07,0.0,9.682570052173622e-15,998,998,998,998,1.0392835739200967e-07,svd,1.3127395311036733e-17,0.00025018972993604276,0.0002501897299360433,0.0002501897299360436,0.0002501897299360439,0.00025018972993604395,0.000250189729936044,0.000250189729936044,0.00025018972993604406,0.0002501897299360441,0.0005507696241502042,0.0008420828559374173,5.634368463372918e-05,-0.0005668180343870266,0.000540181741462462,0.0013798929821495702,-0.00045808013246568017,0.00019679686529214434
coupled,4,0.1,1e-12,6.507115165618002,4.1979958991726456e-07,0.0,9.682570052173622e-15,998,998,998,998,1.0392835763108113e-07,svd,1.8354859677179504e-18,0.00025018972993604336,0.0002501897299360435,0.00025018972993604374,0.0002501897299360438,0.0002501897299360438,0.0002501897299360438,0.0002501897299360439,0.00025018972993604395,0.00025018972993604395,0.0018198219748654877,0.0005178833287676794,-0.001467355298720403,0.0006710069713790629,-0.0007693085008578887,0.0006401946371647098,0.00015163722133245184,0.000807627675658537
decoupled,5,0.1,1e-12,6.407239205475722,5.797684158039777e-07,0.0,1.0100724846435617e-14,998,998,998,998,1.039618825532059e-07,svd,1.9542301348595076e-17,0.00025015046967346276,0.0002501504696734628,0.00025015046967346286,0.00025015046967346286,0.0002501504696734629,0.000250150469673463,0.0002501504696734631,0.0002501504696734631,0.00025015046967346313,0.000550769424066763,0.0008420824873556389,5.6344071006657586e-05,-0.000566817580392711,0.0005401818261586545,0.0013798928865897777,-0.0004580801586276403,0.00019679680887823686
coupled,5,0.1,1e-12,6.407239205475722,5.797684158039777e-07,0.0,1.0100724846435617e-14,998,998,998,998,1.0396188249223594e-07,svd,1.0728807196239895e-18,0.00025015046967346254,0.0002501504696734629,0.00025015046967346297,0.000250150469673463,0.0002501504696734631,0.0002501504696734631,0.00025015046967346324,0.0002501504696734633,0.0002501504696734633,0.0018198219032229328,0.0005178833773063107,-0.0014673545673604637,0.0006710064465776498,-0.0007693085359772177,0.0006401947171582617,0.00015163723514073366,0.000807627685979791
decoupled,97,0.1,1e-12,0.059179731389921275,0.0003709301434426937,2.220446049250313e-16,1.0090150368775381e-14,998,998,998,998,2.1074769564224204e-07,svd,9.566114139125475e-18,1.4472371926992274e-05,1.4472371926992325e-05,1.4472371926992335e-05,1.447237192699236e-05,1.4472371926992373e-05,1.447237192699238e-05,1.4472371926992395e-05,1.4472371926992411e-05,1.4472371926992417e-05,0.0005509835870810932,0.0008429066574441476,5.591102395895905e-05,-0.0005662922000627427,0.0005401948987294112,0.0013798781323997255,-0.00045808419469399203,0.00019678810307928086
coupled,97,0.1,1e-12,0.059179731389921275,0.0003709301434426937,2.220446049250313e-16,1.0090150368775381e-14,998,998,998,998,2.1074769549347486e-07,svd,1.050209685242181e-17,1.4472371926992281e-05,1.4472371926992322e-05,1.4472371926992325e-05,1.447237192699236e-05,1.4472371926992369e-05,1.4472371926992376e-05,1.4472371926992398e-05,1.4472371926992433e-05,1.4472371926992433e-05,0.0018181118595762718,0.0005182337395158115,-0.00146636011079383,0.0006713723766459588,-0.0007693139578637071,0.0006402070654464031,0.00015163937104008688,0.0008076292760353606
decoupled,98,0.1,1e-12,0.05369471538731291,0.00034283728605011277,9.992007221626409e-16,1.0173349141552116e-14,998,998,998,998,2.0825493629389538e-07,svd,2.5204617715412857e-18,1.3167812331560897e-05,1.3167812331560902e-05,1.3167812331560907e-05,1.3167812331560919e-05,1.3167812331560946e-05,1.3167812331560951e-05,1.3167812331560955e-05,1.3167812331560955e-05,1.3167812331560958e-05,0.0005509870940283397,0.0008429199673945211,5.5903937045035115e-05,-0.0005662840311105965,0.000540195068331379,0.0013798779409358538,-0.00045808424703476443,0.00019678799015600585
coupled,98,0.1,1e-12,0.05369471538731291,0.00034283728605011277,9.992007221626409e-16,1.0173349141552116e-14,998,998,998,998,2.082549367413282e-07,svd,2.979446526037663e-18,1.3167812331560917e-05,1.3167812331560943e-05,1.3167812331560946e-05,1.3167812331560946e-05,1.3167812331560951e-05,1.3167812331560983e-05,1.316781233156099e-05,1.316781233156099e-05,1.316781233156099e-05,0.0018180846121693538,0.0005182393026310402,-0.0014663445851104278,0.0006713784538530284,-0.0007693140282239749,0.0006402072256688248,0.0001516393988111135,0.0008076292966269977
decoupled,99,0.1,1e-12,0.04870577082588024,0.00031652443883378734,2.220446049250313e-16,1.0216742374071108e-14,998,998,998,998,2.059094002438079e-07,svd,4.354113597208117e-18,1.1974882975962138e-05,1.1974882975962224e-05,1.1974882975962248e-05,1.1974882975962282e-05,1.1974882975962304e-05,1.1974882975962306e-05,1.1974882975962313e-05,1.1974882975962333e-05,1.1974882975962375e-05,0.0005509905153518124,0.0008429329613143946,5.5897022674183105e-05,-0.0005662760401830798,0.0005401952360199683,0.0013798777516217198,-0.00045808429878315586,0.00019678787850472963
coupled,99,0.1,1e-12,0.048705770825880235,0.00031652443883378734,2.220446049250313e-16,1.0216742374071108e-14,998,998,998,998,2.0590940007415434e-07,svd,5.376682953754293e-18,1.197488297596222e-05,1.1974882975962238e-05,1.1974882975962243e-05,1.1974882975962258e-05,1.1974882975962282e-05,1.19748829759623e-05,1.1974882975962314e-05,1.1974882975962326e-05,1.1974882975962348e-05,0.0018180579918468985,0.0005182447384171897,-0.0014663294006707433,0.0006713843784938921,-0.0007693140977898446,0.000640207384084683,0.00015163942627035052,0.0008076293169833957
decoupled,100,0.1,1e-12,0.04417018619704182,0.00029193607851096814,4.440892098500626e-16,1.059303598381547e-14,998,998,998,998,2.0370866700311433e-07,svd,4.2341353334286295e-18,1.0885070940316067e-05,1.0885070940316093e-05,1.0885070940316093e-05,1.0885070940316094e-05,1.0885070940316094e-05,1.08850709403161e-05,1.0885070940316104e-05,1.0885070940316106e-05,1.0885070940316111e-05,0.0005509938562894702,0.0008429456585516438,5.589027027337153e-05,-0.0005662682163623663,0.000540195401916509,0.0013798775643326054,-0.0004580843499784458,0.00019678776804813377
coupled,100,0.1,1e-12,0.04417018619704183,0.00029193607851096814,4.440892098500626e-16,1.059303598381547e-14,998,998,998,998,2.0370866702944593e-07,svd,4.582969850553516e-18,1.0885070940316132e-05,1.0885070940316137e-05,1.0885070940316138e-05,1.0885070940316138e-05,1.0885070940316138e-05,1.0885070940316143e-05,1.0885070940316145e-05,1.088507094031615e-05,1.0885070940316154e-05,0.0018180319601808926,0.0005182500546757724,-0.0014663145365614479,0.0006713901599139688,-0.0007693141666121449,0.0006402075408069369,0.00015163945343744085,0.0008076293371208804
decoupled,101,0.1,1e-12,0.040048551241287034,0.00026900773453542026,1.4432899320127035e-15,6.958871477145538e-08,999,999,999,998,2.123239428140474e-07,eigh_fallback,2.86629365760267e-12,9.890329272245253e-06,9.89032927224528e-06,9.890329272245326e-06,9.890329272245439e-06,9.890329272245456e-06,9.890329272245463e-06,9.890329272245463e-06,9.890329272245475e-06,9.89032927224548e-06,0.0005509971219791763,0.0008429580780181822,5.588366953821689e-05,-0.0005662605490361092,0.0005401956631184002,0.0013798773990289456,-0.0004580843620841097,0.00019678771317594487
coupled,101,0.1,1e-12,0.040048551241287034,0.0002690077345356423,1.4432899320127035e-15,6.958871477145538e-08,998,998,998,998,2.016491605976e-07,svd,6.321675946940578e-18,9.890329272245622e-06,9.890329272245668e-06,9.890329272245668e-06,9.890329272245693e-06,9.890329272245705e-06,9.890329272245712e-06,9.890329272245715e-06,9.890329272245727e-06,9.890329272245734e-06,0.001818006479708918,0.000518255259014725,-0.0014662999723946235,0.0006713958072271514,-0.0007693142347395945,0.0006402076959453299,0.000151639480331354,0.0008076293570548857
decoupled,102,0.1,1e-12,0.036304568230117254,0.0002476684342633817,4.3653969328261155e-13,2.292002852004997e-13,998,998,998,998,2.124916238497451e-07,svd,3.5090691604934605e-18,8.983085839460008e-06,8.983085839468509e-06,8.983085839482e-06,8.983085839482176e-06,8.983085839487284e-06,8.983085839489842e-06,8.983085839493882e-06,8.98308583949409e-06,8.983085839498318e-06,0.0005510003173416789,0.0008429702379343347,5.587721048955187e-05,-0.0005662530278788786,0.0005401957287873715,0.0013798771953086664,-0.00045808445084835674,0.00019678755041406637
