regime,optimizer,step,eta,loss,delta,correct_min,correct_max
decoupled,gd,0,194149.19457438815,6.906754778648552,0.0,0.0010010010010010006,0.0010010010010010006
decoupled,gd,1,194149.19457438815,-0.0,0.0,1.0,1.0
decoupled,signgd,0,0.13,6.906754778648552,0.0,0.0010010010010010006,0.0010010010010010006
decoupled,signgd,1,0.13,6.647051961799232,0.0,0.001297842560722479,0.001297842560722479
decoupled,signgd,2,0.13,6.387437256067923,0.0,0.0016825626581017893,0.0016825626581017893
decoupled,signgd,3,0.13,6.127936734783522,0.0,0.0021810764606116965,0.0021810764606116965
decoupled,signgd,4,0.13,5.868584152385996,0.0,0.0028268729232262197,0.0028268729232262197
decoupled,signgd,5,0.13,5.609423183922661,0.0,0.003663181730563537,0.003663181730563537
decoupled,signgd,6,0.13,5.350510301664709,0.0,0.004745728628174786,0.004745728628174786
decoupled,signgd,7,0.13,5.091918459357972,0.0,0.006146217301300366,0.006146217301300366
decoupled,signgd,8,0.13,4.833741792910536,6.938893903907228e-18,0.007956693197332484,0.007956693197332491
decoupled,signgd,9,0.13,4.576101588003325,8.673617379884035e-18,0.010294952133499088,0.010294952133499097
decoupled,signgd,10,0.13,4.319153806271643,1.214306433183765e-17,0.013311142583478364,0.013311142583478376
decoupled,signgd,11,0.13,4.0630984944697355,1.3877787807814457e-17,0.01719565584060841,0.017195655840608424
decoupled,signgd,12,0.13,3.8081914111043003,2.0816681711721685e-17,0.02218827215268449,0.02218827215268451
decoupled,signgd,13,0.13,3.5547581682545846,3.8163916471489756e-17,0.028588287635887367,0.028588287635887406
decoupled,signgd,14,0.13,3.3032110643784733,4.85722573273506e-17,0.03676492312282848,0.03676492312282853
decoupled,signgd,15,0.13,3.0540685201141238,2.0816681711721685e-17,0.04716663508636906,0.047166635086369084
decoupled,signgd,16,0.13,2.8079765466151065,2.42861286636753e-16,0.0603269377217546,0.06032693772175484
decoupled,signgd,17,0.13,2.565730884309448,4.0245584642661925e-16,0.07686298295881945,0.07686298295881985
decoupled,signgd,18,0.13,2.328297269485708,4.440892098500626e-16,0.0974615566514522,0.09746155665145265
decoupled,signgd,19,0.13,2.0968257046377197,9.853229343548264e-16,0.12284575872330651,0.1228457587233075
decoupled,signgd,20,0.13,1.8726527830212016,4.996003610813204e-16,0.15371534700664952,0.15371534700665002
decoupled,signgd,21,0.13,1.6572845141266308,3.747002708109903e-15,0.19065600148038248,0.19065600148038622
decoupled,signgd,22,0.13,1.4523516066628184,2.0261570199409107e-15,0.23401931912647073,0.23401931912647275
decoupled,signgd,23,0.13,1.2595310531504569,3.3306690738754696e-15,0.28378707635607275,0.2837870763560761
decoupled,signgd,24,0.13,1.0804333185387764,6.106226635438361e-15,0.3394484044854547,0.3394484044854608
decoupled,signgd,25,0.13,0.9164636427608535,5.551115123125783e-17,0.3999308416246109,0.39993084162461096
decoupled,signgd,26,0.13,0.768676973669842,1.5487611193520934e-14,0.4636260521993063,0.4636260521993218
decoupled,signgd,27,0.13,0.6376544714144895,3.0531133177191805e-14,0.5285306550820297,0.5285306550820602
