optimizer,regime,eta,steps,loss,delta
gd,decoupled,1000.0,200,0.005937831372686662,0.023151647439472733
gd,decoupled,1124.2100350620863,200,0.005172751809306967,0.020104898780310965
gd,decoupled,1263.8482029342983,200,0.004514794571510302,0.017508244793030148
gd,decoupled,1420.8308325339224,200,0.003946797292961541,0.015284986688942404
gd,decoupled,1597.312280060254,200,0.003458541396134376,0.013369008086045908
gd,decoupled,1795.714494371641,200,0.003040305815246112,0.011708464510309491
gd,decoupled,2018.7602546790388,200,0.002676998197745879,0.010269868335091914
gd,decoupled,2269.5105366946686,200,0.002357913045953643,0.009023452875472238
gd,decoupled,2551.4065200312875,200,0.0020764627953860234,0.007941641435524338
gd,decoupled,2868.3168133420118,200,0.0018237233924814735,0.007005674495269898
gd,decoupled,3224.590545296395,200,0.0015821804919261685,0.006212309018193252
gd,decoupled,3625.117049988535,200,0.0013233558059698375,0.0055759150289850234
gd,decoupled,4075.392965871778,200,0.001076434142609094,0.005042018919547142
gd,decoupled,4581.597669054491,200,0.0009135974370453903,0.004505038422148333
gd,decoupled,5150.678076168122,200,0.0008014364443496612,0.003993578668816666
gd,decoupled,5790.443980602489,200,0.0007084784428744827,0.0035356911706607708
gd,decoupled,6509.6752304581705,200,0.0006271976343884863,0.0031310516329294824
gd,decoupled,7318.2422190761745,200,0.0005555377234637683,0.0027738334457192426
gd,decoupled,8227.241341700474,200,0.0004922569944904431,0.0024582584687131703
gd,decoupled,9249.147277217335,200,0.0004363410420261315,0.0021793270211017957
gd,decoupled,10397.984184814899,200,0.0003869075854934556,0.0019326679150557524
gd,decoupled,11689.518164985777,200,0.0003431095684005654,0.001714077130976821
gd,decoupled,13141.47362611758,200,0.0003043286558712979,0.0015204861672406533
gd,decoupled,14773.776525985097,200,0.0002701271433791378,0.0013497240190019077
gd,decoupled,16608.827826277167,200,0.0002398117337084384,0.0011983400849659986
gd,decoupled,18671.810912919205,200,0.0002125676387718311,0.0010622735814216355
gd,decoupled,20991.037201085546,200,0.00018784289495542451,0.0009387735509248651
gd,decoupled,23598.33466782194,200,0.0001657731626392309,0.0008285223988556689
gd,decoupled,26529.484644318945,200,0.0001472281853134856,0.0007358700413231389
gd,decoupled,29824.71286216894,200,0.0001317567093263946,0.0006585665964367049
gd,decoupled,33529.24149249553,200,0.0001176984372612084,0.0005883190587780973
gd,decoupled,37693.909753883636,200,0.00010458515343534467,0.0005227890653438649
gd,decoupled,42375.87160604064,200,9.210336984826927e-05,0.0004604108276505814
gd,decoupled,47639.380104013406,200,7.87000858408267e-05,0.0003934230180745457
gd,decoupled,53556.669177068965,200,5.9782557457924336e-05,0.00029886811731894003
gd,decoupled,60208.94493336126,200,3.0658162788041514e-05,0.00015327906552187187
gd,decoupled,67687.50009458541,200,7.621905514300461e-06,3.810880143351181e-05
gd,decoupled,76094.96685459868,200,1.0452357563643432e-06,5.226165126770432e-06
gd,decoupled,85546.72535565685,200,9.98830776664472e-08,4.994152830173348e-07
gd,decoupled,96172.48711152964,200,7.0020352304070585e-09,3.501020595653159e-08
gd,decoupled,108118.07510766077,200,3.521227659570141e-10,1.7606154312233002e-09
gd,decoupled,121547.4250076286,200,1.2220352778279143e-11,6.114175832294677e-11
