optimizer,regime,eta,steps,loss,delta
gd,decoupled,1e-08,10,5.703782473576485,4.1527553965026165e-12
gd,decoupled,1e-08,50,5.703782469257597,2.076387672911295e-11
gd,decoupled,1e-08,100,5.703782463858982,4.1527782948524994e-11
gd,decoupled,1e-08,200,5.703782453061756,8.305556069287956e-11
gd,decoupled,1.1311278765939214e-08,10,5.703782473434897,4.697305912293448e-12
gd,decoupled,1.1311278765939214e-08,50,5.703782468549684,2.34865902767889e-11
gd,decoupled,1.1311278765939214e-08,100,5.703782462443164,4.697320180394038e-11
gd,decoupled,1.1311278765939214e-08,200,5.703782450230122,9.394646085375546e-11
gd,decoupled,1.2794502732078734e-08,10,5.703782473274754,5.313260682121568e-12
gd,decoupled,1.2794502732078734e-08,50,5.703782467748945,2.656638450893034e-11
gd,decoupled,1.2794502732078734e-08,100,5.703782460841692,5.313271350670945e-11
gd,decoupled,1.2794502732078734e-08,200,5.703782447027184,1.0626543091654672e-10
gd,decoupled,1.4472218707411344e-08,10,5.703782473093604,6.009992416927679e-12
gd,decoupled,1.4472218707411344e-08,50,5.703782466843213,3.0049983335000974e-11
gd,decoupled,1.4472218707411344e-08,100,5.703782459030223,6.009993154185156e-11
gd,decoupled,1.4472218707411344e-08,200,5.703782443404244,1.2019983489444663e-10
gd,decoupled,1.636993001611702e-08,10,5.7037824728887045,6.7980495364883264e-12
gd,decoupled,1.636993001611702e-08,50,5.70378246581871,3.3990336587019776e-11
gd,decoupled,1.636993001611702e-08,100,5.7037824569812265,6.798066753618826e-11
gd,decoupled,1.636993001611702e-08,200,5.703782439306244,1.3596138754776166e-10
gd,decoupled,1.8516484179121542e-08,10,5.703782472656937,7.689470154365052e-12
gd,decoupled,1.8516484179121542e-08,50,5.703782464659873,3.8447426232296467e-11
gd,decoupled,1.8516484179121542e-08,100,5.703782454663548,7.68948264437408e-11
gd,decoupled,1.8516484179121542e-08,200,5.7037824346708845,1.5378966980103548e-10
gd,decoupled,2.0944511431514688e-08,10,5.703782472394775,8.697809833480008e-12
gd,decoupled,2.0944511431514688e-08,50,5.703782463349071,4.3488978477418394e-11
gd,decoupled,2.0944511431514688e-08,100,5.7037824520419464,8.697790187736643e-11
gd,decoupled,2.0944511431514688e-08,200,5.703782429427688,1.7395580895890328e-10
gd,decoupled,2.369092074182632e-08,10,5.70378247209824,9.838328502570493e-12
gd,decoupled,2.369092074182632e-08,50,5.703782461866395,4.919155187355084e-11
gd,decoupled,2.369092074182632e-08,100,5.7037824490765905,9.838310461446342e-11
gd,decoupled,2.369092074182632e-08,200,5.703782423496978,1.967662365508216e-10
gd,decoupled,2.6797460873256895e-08,10,5.703782471762814,1.1128404621418841e-11
gd,decoupled,2.6797460873256895e-08,50,5.703782460189293,5.56419714990708e-11
gd,decoupled,2.6797460873256895e-08,100,5.703782445722384,1.1128393215611987e-10
gd,decoupled,2.6797460873256895e-08,200,5.703782416788576,2.225677949233007e-10
gd,decoupled,3.0311355015675764e-08,10,5.703782471383418,1.2587625820154047e-11
gd,decoupled,3.0311355015675764e-08,50,5.703782458292277,6.293817073413366e-11
gd,decoupled,3.0311355015675764e-08,100,5.703782441928357,1.2587631631477691e-10
gd,decoupled,3.0311355015675764e-08,200,5.70378240920051,2.517526473747034e-10
gd,decoupled,3.428601863556583e-08,10,5.703782470954267,1.4238207834971206e-11
gd,decoupled,3.428601863556583e-08,50,5.703782456146512,7.119109511968813e-11
gd,decoupled,3.428601863556583e-08,100,5.703782437636825,1.4238220715293015e-10
gd,decoupled,3.428601863556583e-08,200,5.703782400617449,2.8476445116873417e-10
gd,decoupled,3.8781871456107196e-08,10,5.703782470468839,1.610525341561031e-11
gd,decoupled,3.8781871456107196e-08,50,5.703782453719377,8.052625059817853e-11
gd,decoupled,3.8781871456107196e-08,100,5.703782432782555,1.610524643334832e-10
gd,decoupled,3.8781871456107196e-08,200,5.703782390908902,3.22105009331608e-10
gd,decoupled,4.386725591048494e-08,10,5.70378246991976,1.8217078453369728e-11
gd,decoupled,4.386725591048494e-08,50,5.703782450973976,9.108548724295895e-11
gd,decoupled,4.386725591048494e-08,100,5.703782427291755,1.8217095974076836e-10
gd,decoupled,4.386725591048494e-08,200,5.7037823799273,3.6434196545170883e-10
gd,decoupled,4.961947603002898e-08,10,5.703782469298676,2.0605855129834927e-11
gd,decoupled,4.961947603002898e-08,50,5.703782447868576,1.0302933506345369e-10
gd,decoupled,4.961947603002898e-08,100,5.703782421080951,2.0605864714182132e-10
gd,decoupled,4.961947603002898e-08,200,5.703782367505699,4.121173350496443e-10
gd,decoupled,5.612597255954966e-08,10,5.703782468596159,2.330787429380421e-11
gd,decoupled,5.612597255954966e-08,50,5.703782444355971,1.165393259325298e-10
gd,decoupled,5.612597255954966e-08,100,5.703782414055741,2.3307869176369955e-10
gd,decoupled,5.612597255954966e-08,200,5.70378235345528,4.661574429416782e-10
gd,decoupled,6.348565216305224e-08,10,5.703782467801512,2.6364202921486113e-11
gd,decoupled,6.348565216305224e-08,50,5.703782440382766,1.3182091833027765e-10
gd,decoupled,6.348565216305224e-08,100,5.703782406109334,2.636417984966388e-10
gd,decoupled,6.348565216305224e-08,200,5.7037823375624646,5.272836299530237e-10
gd,decoupled,7.181039092537356e-08,10,5.703782466902679,2.9821224049181305e-11
gd,decoupled,7.181039092537356e-08,50,5.703782435888567,1.4910628677936022e-10
gd,decoupled,7.181039092537356e-08,100,5.703782397120924,2.982126342740421e-10
gd,decoupled,7.181039092537356e-08,200,5.7037823195856525,5.964252425272321e-10
gd,decoupled,8.12267350047972e-08,10,5.703782465885971,3.373164855074995e-11
gd,decoupled,8.12267350047972e-08,50,5.703782430805049,1.6865826270306972e-10
gd,decoupled,8.12267350047972e-08,100,5.70378238695389,3.373165999992489e-10
gd,decoupled,8.12267350047972e-08,200,5.703782299251582,6.746332208151795e-10
gd,decoupled,9.18778242886334e-08,10,5.703782464735944,3.815483953090171e-11
gd,decoupled,9.18778242886334e-08,50,5.70378242505494,1.9077410224471736e-10
gd,decoupled,9.18778242886334e-08,100,5.7037823754536685,3.8154821923458426e-10
gd,decoupled,9.18778242886334e-08,200,5.703782276251142,7.63096473163638e-10
gd,decoupled,1.0392556829367131e-07,10,5.703782463435126,4.315798109513769e-11
gd,decoupled,1.0392556829367131e-07,50,5.703782418550828,2.1578994190488143e-10
gd,decoupled,1.0392556829367131e-07,100,5.70378236244546,4.315798256965264e-10
gd,decoupled,1.0392556829367131e-07,200,5.7037822502347115,8.63159693893778e-10
gd,decoupled,1.17553107387837e-07,10,5.703782461963733,4.8817190741179406e-11
gd,decoupled,1.17553107387837e-07,50,5.703782411193851,2.44085973655217e-10
gd,decoupled,1.17553107387837e-07,100,5.703782347731498,4.881719820049035e-10
gd,decoupled,1.17553107387837e-07,200,5.703782220806793,9.763440420723635e-10
gd,decoupled,1.3296759674662126e-07,10,5.703782460299396,5.521846434958233e-11
gd,decoupled,1.3296759674662126e-07,50,5.703782402872166,2.7609244491327845e-10
gd,decoupled,1.3296759674662126e-07,100,5.7037823310881315,5.521849305925586e-10
gd,decoupled,1.3296759674662126e-07,200,5.7037821875200585,1.1043700090702935e-09
gd,decoupled,1.5040335536380252e-07,10,5.703782458416813,6.245919103101127e-11
gd,decoupled,1.5040335536380252e-07,50,5.70378239345928,3.122958384949026e-10
gd,decoupled,1.5040335536380252e-07,100,5.7037823122623585,6.245917693638303e-10
