regime,step,eta,tol,loss,delta,prediction_diff_coupled_decoupled,update_diff_coupled_decoupled,rank,rank_1e-14,rank_1e-12,rank_1e-10,direction_change,polar_method,s_tail_1,s_tail_2,s_tail_3,s_tail_4,s_tail_5,s_tail_6,s_tail_7,s_tail_8,s_tail_9,s_tail_10,gradient_probe_1,gradient_probe_2,gradient_probe_3,gradient_probe_4,direction_probe_1,direction_probe_2,direction_probe_3,direction_probe_4
decoupled,0,0.1,1e-12,6.906754778648555,0.0,0.0,9.77807702357315e-15,998,998,998,998,nan,svd,4.594360505856409e-18,0.000250312891113888,0.00025031289111388807,0.0002503128911138885,0.00025031289111388877,0.000250312891113889,0.00025031289111388904,0.00025031289111388904,0.0002503128911138891,0.00025031289111388915,0.0005507704324147232,0.0008420843594692524,5.63421232196816e-05,-0.0005668198336805717,0.0005401814029287907,0.0013798933641217567,-0.00045808002789679054,0.00019679709078732565
coupled,0,0.1,1e-12,6.906754778648555,0.0,0.0,9.77807702357315e-15,998,998,998,998,nan,svd,2.014417150834121e-18,0.0002503128911138883,0.0002503128911138891,0.0002503128911138891,0.00025031289111388915,0.0002503128911138892,0.0002503128911138893,0.00025031289111388953,0.0002503128911138896,0.00025031289111388964,0.0018198222031177802,0.0005178831465156912,-0.0014673581921961973,0.0006710090846041336,-0.0007693083604856974,0.0006401943174254892,0.00015163716614360095,0.0008076276344031886
decoupled,1,0.1,1e-12,6.806827083007736,7.78039193787862e-08,0.0,9.752909622523247e-15,998,998,998,998,1.038461172376108e-07,svd,9.875748544368586e-18,0.0002502865425132762,0.0002502865425132767,0.0002502865425132773,0.0002502865425132775,0.0002502865425132777,0.0002502865425132777,0.00025028654251327775,0.0002502865425132778,0.00025028654251327785,0.0005507702293750761,0.0008420839799959267,5.6342515533156126e-05,-0.0005668193859207677,0.0005401814875300655,0.0013798932686653153,-0.00045808005402929577,0.00019679703443468556
coupled,1,0.1,1e-12,6.806827083007736,7.78039193787862e-08,0.0,9.752909622523247e-15,998,998,998,998,1.0384611748963323e-07,svd,4.391665528460783e-19,0.0002502865425132768,0.0002502865425132774,0.000250286542513278,0.000250286542513278,0.00025028654251327807,0.0002502865425132782,0.00025028654251327823,0.0002502865425132783,0.00025028654251327845,0.0018198221532471448,0.00051788319061058,-0.0014673574727762397,0.0006710085545751306,-0.0007693083955655648,0.0006401943973300392,0.00015163717993504886,0.000807627644713788
decoupled,2,0.1,1e-12,6.706910454435031,1.7193698468166534e-07,0.0,9.751309156689918e-15,998,998,998,998,1.0387085466771965e-07,svd,9.852940503232202e-18,0.00025025743055055407,0.0002502574305505542,0.00025025743055055456,0.0002502574305505546,0.0002502574305505549,0.000250257430550555,0.000250257430550555,0.000250257430550555,0.0002502574305505551,0.0005507700269155332,0.0008420836026722469,5.63429066686713e-05,-0.0005668189369135887,0.0005401815721518005,0.0013798931731873068,-0.00045808008016823065,0.0001967969780690474
coupled,2,0.1,1e-12,6.706910454435031,1.7193698468166534e-07,0.0,9.751309156689918e-15,998,998,998,998,1.0387085486726265e-07,svd,3.56287598841565e-18,0.00025025743055055445,0.0002502574305505545,0.00025025743055055456,0.0002502574305505546,0.000250257430550555,0.00025025743055055516,0.00025025743055055516,0.00025025743055055526,0.0002502574305505553,0.0018198220990525828,0.0005178832355893143,-0.0014673567509803636,0.0006710080255809775,-0.0007693084306535059,0.0006401944772533027,0.0001516371937300989,0.0008076276550262529
decoupled,3,0.1,1e-12,6.607006054322397,2.849625472245692e-07,0.0,9.916731975334101e-15,998,998,998,998,1.0389814972201276e-07,svd,8.467715860259053e-18,0.00025022526609656386,0.00025022526609656484,0.0002502252660965649,0.000250225266096565,0.0002502252660965652,0.00025022526609656527,0.0002502252660965654,0.0002502252660965655,0.0002502252660965656,0.0005507698251400932,0.0008420832278580786,5.634329644012683e-05,-0.0005668184864772425,0.0005401816567941716,0.0013798930776804663,-0.0004580801063126333,0.00019679692168838176
coupled,3,0.1,1e-12,6.607006054322397,2.849625472245692e-07,0.0,9.916731975334101e-15,998,998,998,998,1.0389814977987027e-07,svd,6.254496366298121e-19,0.0002502252660965647,0.00025022526609656527,0.0002502252660965655,0.0002502252660965655,0.0002502252660965657,0.0002502252660965657,0.00025022526609656576,0.0002502252660965658,0.00025022526609656587,0.0018198220398540253,0.0005178832815901938,-0.0014673560264385813,0.0006710074977873719,-0.0007693084657511069,0.000640194557197833,0.00015163720752919303,0.0008076276653415675
decoupled,4,0.1,1e-12,6.507115165618001,4.1979958991726456e-07,0.0,9.94793710790614e-15,998,998,998,998,1.0392835778800902e-07,svd,3.4359752142546187e-18,0.00025018972993604254,0.00025018972993604287,0.00025018972993604303,0.00025018972993604336,0.0002501897299360435,0.0002501897299360435,0.0002501897299360436,0.00025018972993604363,0.00025018972993604363,0.0005507696241497601,0.0008420828559367302,5.6343684633683295e-05,-0.0005668180343865631,0.0005401817414616715,0.0013798929821475802,-0.00045808013246502287,0.000196796865291846
coupled,4,0.1,1e-12,6.507115165618001,4.1979958991726456e-07,0.0,9.94793710790614e-15,998,998,998,998,1.0392835748215311e-07,svd,3.3997672501964375e-18,0.00025018972993604265,0.00025018972993604325,0.00025018972993604336,0.00025018972993604336,0.00025018972993604347,0.00025018972993604363,0.00025018972993604374,0.0002501897299360438,0.00025018972993604385,0.0018198219748649807,0.0005178833287675295,-0.0014673552987199768,0.0006710069713788691,-0.0007693085008583788,0.000640194637165105,0.00015163722133253583,0.0008076276756590426
